,0,1
184,ocean,highway
185, bowling alley, dog
186,ant,snake
187,fingers,ship
188, useless, very useful
189,ham,lion
190, rubber ball, cloud
191,into,in
192,cleveland,ohio
193, bro ##iled, baked
194,basketball,tennis
195, were lot of people huge, was one person massive
196,doctors,doctor
197,shirt,shoe
198, fell, whales .
199, breath fire, close door
200,lion,zebra
201,cat,bed
202, scales are distances, a ruler is distance
203, is likely to be kicked by, would never kick
204,chicken,turkey
205, heat ##ers, light
206, a recipe great cook a meal and avoid minor in, cooking meals number one make such as fires
207,dog,mug
208,moon,movies
209,sweet,bad
210,london,sahara
211,automobile,pizza
212, sham ##poo, milk
213,walk,dump
214,workers,dinosaur
215,pool,glass
216, home, snow globe
217,piano,milk
218, you cannot yourself by drinking, people drink to themselves
219,medicine,me
220, drew water, pulled a fan
221, friday, a water bottle
222, cooks a bed, cooked milk
223, cannot ##wash ##er, can ##water
224,cat,shark
225,sweets,plastic
226,cat,dog
227, in will become," before go to and , then afterwards are"
228,television,football
229,ocean,sky
230,park,moon
231,200,100
232,track,closet
233, apple juice, paper
234,couch,spoon
235,floor,keyboard
236,flew,swam
237,dentist,mechanic
238, flying, for walk
239, buy ticket, your passport
240, mail ##box, house
241,shoe,key
242,##sser,##rian
243,teeth,night
244,clown,monster
245,knife,spoon
246,veterinary,gym
247,breakfast,dinner
248, ##s, potatoes
249, note ##pad, soap
250, slam on the brakes, fly a plane
251,restaurant,church
252,robber,robbery
253,into,entering
254, lunch box, mobile
255,armchair,stove
256, he was in a trial, the defendant the jury
257,petrol,tea
258," , put back on shelf", proceeded to eat
259,car,trolley
260,see,buy
261,pen,bag
262,shoes,shirt
263,plate,chicken
264,guitar,xbox
265,copied,called
266,cleaning,carry
267, sleeping, watching television
268,juice,sand
269, oven, bath ##tub
270,shoe,chocolate
271, the bath ##tub, bed
272,pizza,gorilla
273, umbrella, suns ##creen
274, cook food, have a shower
275, baked, ref ##ri ##ger ##ated
276,mall,jim
277, tea, ice ##cre ##am
278,sword,teddy
279,square,sphere
280,turkey,cat
281,green,orange
282, most plants green leaves, plant can buffalo for dinner
283, injection, ste ##th ##os ##cope
284,homosexual,white
285,cigarettes,beer
286,fat,tall
287,speech,pizza
288,horrible,good
289, will buy a new house, won ' t be buying anything any more
290,log,dog
291,question,answer
292, an elevator, a picture frame
293, anxiety disorders affect around at any one, disorder ##ed are anxious about anything all the
294,water,sand
295, bu ##rg ##lars, doctors
296, black tie, rainbow bow ##tie
297,teacher,students
298,stove,television
299, oven, the freeze ##r
300,pan,##r
301, a language, how to cycle
302, tv ., couch
303,rock,shark
304,car,ferry
305,rain,sun
306,oil,water
307, car ., dress
308, are as cricket ball, to eat
309, compressor, juice maker
310,##s,phones
311, cold temperatures, summer
312, an apple, a mobile phone
313, chocolate, graph ##ite
314,knife,axe
315,dinner,movie
316,sports,mountain
317, invisible ., visible
318, hot ##dog ##s, spoon
319,table,guitar
320, used to shape material, only for making table legs
321,water,coffee
322,computer,people
323,sword,gun
324,boats,people
325,tourists,rivers
326, nails, ham .
327, chair, che ##eta ##h
328,bird,animal
329,in,on
330, on the road, inside home
331, a cat, rats
332, wardrobe r ##he, book the
333,cat,rat
334, hospital, clothing store
335, clicking, splash ##ing
336,chalk,cake
337,fan,joey
338,river,street
339,ten,four
340,mouse,dog
341,2,9
342,country,restaurant
343,bad,good
344,spaceship,tunnel
345, ' s funeral, wedding
346, tooth ##pas ##te, suns ##creen
347,seven,four
348,phones,apples
349, permanent marker, pencil
350,fail,pass
351,pen,mobile
352,train,dog
353,steel,wood
354, rice, music files
355, a basil plant, an infant
356,leopard,car
357, swim, place an elephant
358, he from continent to continent, on highway
359,land,water
360, mountains, stool ##s
361,ant,girl
362,watch,shoe
363,library,prison
364, pool, ground
365,friends,islands
366,unicorn,rabbit
367, wood, chicken preparation
368, sand, sugar ##y foods
369,bike,friends
370,bathroom,garage
371,eating,reading
372, eat meat, exercise
373,dog,chef
374, bath ##tub, bed
375," , 250 36", 325
376, she of, her
377, can, will always
378,jail,school
379, make, for making
380,the,a
381,blades,items
382,flying,crying
383,saloon,theater
384,hands,feet
385,painter,vet
386,men,dogs
387,thief,cops
388, into stroll ##er, down water slide
389, the her, she
390, in the stadium,
391,cake,grass
392, a horse, lunch
393,plane,bird
394, dump ##ster, his mouth
395,up,again
396,dogs,monkeys
397,babies,adults
398,##s,knives
399,wall,door
400, bath ##tub, pan
401,necklace,rock
402, salmon, new led
403, edward installed solar panels, he put a nuclear plant
404,four,ten
405,wheel,##cuit
406, auto ##s itself, you everyday
407, sail ##boat, airplane
408,into,over
409, clips together, cuts into pieces
410,alright,humans
411,clothes,me
412, teacher, plum ##ber
413,television,oven
414,horse,dog
415,telephone,banana
416,rod,fish
417,three,two
418,stove,speaker
419, shoe, chess game
420, ##rm ##ometer, ste ##th ##os ##cope
421, cooke ##r, lake
422,teachers,students
423,cake,water
424, water, sand ##paper
425,fridge,gym
426, your own interests, irrelevant matters
427,fridge,computer
428, ice cream, arsenic
429,spider,lion
430,, football for
431,dirt,fruit
432,moonlight,sunlight
433,cold,hot
434, she se ##wed an outfit she se ##wed, door door is too
435, essential for health, unwanted thing to body
436, a sail ##boat, an ant ##elo ##pe
437, when they are excited, to call mom .
438,spoon,glasses
439, key, pen
440, 123 ##45, q ##wer ##ty 6
441,benches,honey
442,tiger,clown
443,friends,bike
444,military,terrorists
445, your body, fruit
446,mud,water
447,sweat,eyes
448,cat,mat
449, wine cellar, ##hel ##f
450,in,on
451,popcorn,pebbles
452,car,pen
453, sleeve ##less shirt, spoon
454,fire,blocks
455, endless, limited like a box
456,shirt,blouse
457,generator,refrigerator
458,, quietly
459,good,great
460,movie,game
461, covered with beds ##pre ##ad, used handkerchief to cover
462,white,black
463, tel ##ep ##ort ##ation, transportation
464,criminals,fish
465, oxygen, twin ##kie ##s
466,stone,plant
467, top hats, clothes
468,fridge,dirt
469,sun,moon
470,girl,cat
471, the mountain, umbrella
472,movies,god
473,park,hospital
474,guitar,car
475,dog,##llar
476,train,bed
477, play with, eat
478,mat,anchor
479,food,jewelry
480,cotton,oil
481, gym, pizza parlor
482, the basket ball, a bat .
483,i,you
484,sea,pond
485,phone,belt
486, ink, mayo ##nna ##ise
487,dog,wife
488,clothes,wardrobe
489,teeth,##s
490, credit card, nose
491, dining out, getting hair cuts
492,thunder,lightning
493, jump from, use lift in a
494,brush,spoon
495,mall,forest
496,egg,dog
497, walked into bank made deposit, went to pool deposited cash
498, restaurants, toll booths
499,apple,meat
500,ticket,reward
501,basement,beach
502,sad,happy
503, helmet, cooke ##r
504,day,night
505,bus,car
506,ball,knife
507,whiskey,food
508,eye,finger
509, shop ##keeper, fridge
510,bird,language
511, be read, eat
512,pen,watch
513, bookstore, hair ##dre ##sser
514,wings,tail
515,outside,shoes
516,horse,dog
517, pizza, his cup
518,movie,books
519,liquid,ice
520,atom,horse
521,work,job
522, usually sits rear ##most, you will find front
523,cat,fridge
524,food,blood
525, cooke ##r, bike
526,zebra,bike
527,plane,bike
528, she a gi ##raf ##fe ., he an apple
529, blend ##er, an engine
530, dog, boy baby
531,military,president
532,hospital,bar
533,ground,fridge
534, ham, boo ##gers
535,##poo,oil
536,air,water
537, soda ##s, wine
538,theater,helmet
539,lenses,plane
540,sun,bushes
541, gunpowder, a candle .
542, ice cream, crocodile
543, church, out the club
544,marriage,war
545,money,soup
546,pen,cash
547,club,hospital
548,bank,restaurant
549, african american, white
550, books ##hel ##ves, drinks
551,guy,lion
552, vegetables, sausage ##s
553,car,trolley
554,stove,paper
555, wrote with pen, used an erase ##r to write
556,deer,octopus
557,wood,water
558, milk it, paper towels them
559, flaming ##o, lion
560, computer, head ##phones
561, a ##er must life to qualify as a ##er, ##ers do not use when lifting
562,birds,chickens
563, cool ourselves down, because like push buttons
564,lawn,car
565,indian,pie
566, she,
567,spoon,chicken
568, sky ##ing, sun ##bat ##hing
569, in sky,
570, as big as elephant, lovely
571, a lot, little
572,grow,grows
573,wolf,cat
574,students,lions
575,day,today
576,parents,groceries
577,into,inside
578,television,him
579,dogs,pets
580,sleep,day
581,rides,walks
582,white,black
583,mall,station
584, a pot roast, breakfast
585,eyes,mouth
586,brush,knife
587, blue skin, anxiety
588, senators, bartender ##s
589,green,purple
590,ate,climbed
591, flying,
592, key, snow scrape ##r
593,cow,book
594, poison," a pot , water and a stove"
595,snake,horse
596, never any sundays july, seven days a week .
597, learn to speak many languages practice daily, put beans in a squash them at night
598, get then buy, give destroy
599, causes accidents, helps concentrate in driving
600, labor day, halloween
601,are,is
602,water,beer
603,office,bathroom
604, round juicy, purple dry
605,key,pen
606,man,baby
607,tree,car
608,money,paddy
609,hamburger,knife
610,stones,woods
611, in mouth, on body .
612,eats,reads
613, dogs, gi ##raf ##fe ##s
614, frame, concrete block
615,jail,zoo
616,husband,pet
617,mountain,beach
618, cookies are, ce ##ler ##y is
619,fridge,stove
620,wool,paper
621, wa ##ffle maker, telephone
622, fly on planes, ride bikes
623, went inside, ate
624, put cobra, kept mobile phone
625,goat,bike
626,doctor,mechanic
627,bricks,paper
628, a fish, bread
629,eagle,whale
630,trash,makeup
631, play cricket, do an experiment
632, space, beach
633,cancer,smoking
634,phone,radio
635,water,wood
636,africa,antarctica
637, an ice cream, a chair
638,restaurant,laundry
639,someone,your
640,glass,gum
641,flying,swimming
642,party,entertainment
643,commercials,police
644, a house, pizza
645, a cock ##ro ##ach, an elephant
646, toast ##er, dog
647, makes a beautiful, put an electric fan on
648,cold,warm
649,football,pig
650,bar,bathroom
651,snake,wife
652, a boat, crabs
653,bricks,chocolate
654,ships,aircraft
655,touch,shot
656, students, mouse ##s
657,night,day
658, being alone, going to the park
659, ra ##cco ##ons, children
660,fish,tiger
661, athletic ##ism, golf
662, motor ##bi ##ke, truck
663, skate park, pool
664, an an ##vil, ball
665,bullet,rock
666,mammoth,elephant
667,store,moon
668,mountains,river
669, hot air ball ##on, box .
670,high,low
671,doctor,police
672,hospital,cinema
673,home,popcorn
674,play,study
675,bottle,pen
676, the oven, tv
677,diamond,brigadier
678, a fly, turkey
679,museum,boat
680,##ing,bullets
681, over ##hea ##ting, dancing
682, get license ., drink lot of alcohol
683, in the afternoon, at night
684,dog,husband
685,tiger,cat
686, boat, ou motor ##bi ##ke
687, basketball court, pool
688, movies, bea ##c ##g
689,sea,road
690, meet new ., create
691,biting,writing
692,aliens,women
693,candy,gun
694,well,glass
695,punk,classical
696, pork grease, b ##lea ##ch
697, golfer, ball
698,stick,knife
699,bike,cat
700, throwing dirt floor, writing current menu chalk board .
701, ice ##cre ##am, cake
702,gasoline,liquid
703,water,petrol
704,rocket,car
705,.,","
706,parked,landed
707,mud,pond
708,kitchen,clinic
709,car,pedestrian
710, put fish on, fell of
711, candy cane ##s, mirrors
712, gi ##raf ##fe, la ##the
713,show,.
714, airport, railway station
715,.,car
716,table,house
717,cards,buses
718,gym,bar
719,remote,brick
720, ke ##rose ##ne, water
721,car,pants
722,director,##ber
723,light,fan
724,cigarette,keyboard
725,fridge,building
726,wave,whistle
727, hard ##work, silly
728,table,dishes
729, but never wake up, no longer
730,child,parrot
731,astronaut,baby
732,dogs,fish
733,puddle,sun
734, eat, put monster
735,menu,food
736,fruits,car
737,milk,vinegar
738, a decision, joker
739, both eyes, opened the other
740, na ##va ##ja, sword
741, some kitchen appliances, a place work
742,squared,rectangular
743,kitchen,bedroom
744,car,rocket
745,theater,market
746,microwave,phone
747, said to her stay away, saw jumping
748, freeze ##r, bed
749,introduction,exam
750,writes,eats
751, ge ##rb ##il, ball
752,stone,potato
753, dog, house fly
754,universe,dollars
755,boxes,shoes
756, robots, ken ##s
757,pluto,earth
758,baby,car
759, cigarette, candy bar
760,cuts,eats
761,spoon,tablet
762, fly, go places
763,books,clothes
764,lawyer,doctor
765, truck, pack of apples
766,papa,bro
767,books,people
768,bears,fish
769,computers,sugar
770,clouds,planets
771,.,grasses
772,berries,shells
773,seeing,singing
774,restaurant,hospital
775,doctors,musicians
776, as good as, worse than
777, pony ., unicorn
778, sun, freeze ##r
779,warm,sticky
780, zebra on, dirty clothes in
781, mustache, knee ##cap
782, oven, seat
783, vet, an art dealer
784, in idaho, near your downtown area
785,talked,walked
786,cat,dogs
787,tennis,basketball
788,soda,petrol
789, cell ##phone, brick
790, butcher, hairs ##ty ##list
791, soothing .," a tasting ,"
792,your,rather
793,egypt,antarctica
794,sun,moon
795,computer,phone
796, lunch ##eon meat in the, bread into a
797,on,of
798,fuels,fuel
799, ted ##dies, tickets
800,cigarette,trees
801,pen,water
802,finger,chair
803,pointless,effective
804,bird,dog
805,whale,chicken
806, za ##ps a, looks
807,map,keyboard
808,always,never
809,hands,feet
810,fire,breeze
811,luggage,garage
812,cereal,gasoline
813,##ing,morning
814,monitors,graves
815,eggs,cars
816,rabbits,horses
817,horse,unicorn
818,hot,cold
819,rice,wallet
820,, hundred
821,trees,water
822,hangar,airplane
823,dress,meal
824,swimming,smiling
825,ears,hair
826, baby ., snakes
827, grandpa ##s, women
828,sank,fixed
829, 911, 92 ##2
830,happy,horror
831,watch,fridge
832,restaurant,park
833, sun, moon
834,sitting,running
835,dripping,floating
836,flew,ran
837,food,people
838,winter,summer
839,girl,bird
840,large,pink
841,males,females
842, lot of keys, only key
843,, santa clause
844,first,last
845,torch,brain
846, sandwich, screw ##drive ##r
847,lion,fish
848, bologna sandwich, whole os ##tric ##h
849, milk, ke ##rose ##ne
850,",",.
851, groceries, ice cream
852,groceries,stocks
853, money, an oven
854, cash ##ier, president
855,delivery,prayers
856,28th,30th
857, tread ##mill ##s ., batteries
858, some turning knob, all them down pushing them into ground
859, books, tabloid ##s
860, eggs in the, a car into a
861,stove,chair
862,neighbor,table
863, truck moving at, ship sailing in the
864,eyes,teeth
865,running,crying
866, an oak tree, a fish
867,restaurant,airport
868, coffee shop, hospital
869,sky,sun
870,stones,clothes
871, raced across road into field, flew to moon back
872,rabbits,people
873, thirty books this, every book in one
874, an ant, dave
875,see,eat
876,chicken,bread
877,fake,small
878,cars,water
879,, bin
880,water,acid
881,##kat,##s
882, a cigarette, ham
883, water, fra ##gan ##ce
884, mobile phone, beach
885,money,flowers
886,feet,mouth
887,piano,keyboard
888, cooling glass, mobile player
889, my car, jupiter
890, park, hospital
891,states,cities
892, freeze ##r, microwave
893,mall,hall
894, tooth ##brush, key
895,highway,yard
896,lion,whale
897,buy,eat
898,sand,salsa
899,sunlight,moonlight
900,rocks,presents
901,lake,corn
902, tv, cooke ##r
903, ##os ##co ##py, car
904, a car toad ##y, sky today
905,animals,creatures
906,fridge,park
907,cafeteria,hospital
908,force,forces
909, also,
910,cat,chair
911,sand,wheat
912,can,cannot
913,bike,##board
914, tons ##ils, brain
915,mobile,pencil
916,read,eat
917,six,five
918, in middle of,
919, snakes, chocolate ##s
920, coffee, straw ##berries
921,car,pen
922, bears, st ##or ##ks
923, teddy bear, dog
924,church,briefcase
925,table,##s
926, a dod ##o bird, his friends
927,sweat,water
928,, cooled
929,red,blue
930, ice cream, nails
931, pillow, air conditioning
932, gasoline, je ##llo
933,me,##al
934, a live - action, an animation
935,remote,phone
936, strange, once extinct
937,sister,prize
938,woman,danish
939, angry, pac ##if ##ist
940, hotel, bunk
941,couch,tv
942,rice,gold
943,poster,car
944,sandwich,rock
945,robber,fish
946,skyscraper,bed
947, vegetable market ., bank
948,dirt,coffee
949,body,tree
950,fat,green
951,milk,rice
952,unexpected,melted
953,cat,pen
954, her car, book
955,hospital,store
956, study, slack off
957, eats dirt, loves eating pizza
958,mountains,beaches
959,watch,pen
960, mango ##es,
961,garage,park
962,doctor,mechanic
963,poison,blood
964, banana ., belt
965,bird,pig
966, live, nu ##gg ##et
967,##er,cartridge
968,orange,palm
969,most,some
970,water,fire
971,eye,ear
972,library,bathroom
973,someone,one
974,cat,table
975, food, metal things
976,water,petrol
977, ball, football
978,beer,drink
979,restaurant,stadium
980,stone,apple
981, ice cream, medicine
982,sand,water
983,cereal,sewage
984, wolf ##s, dogs
985,christian,pagan
986,hills,dog
987,soap,gasoline
988,cat,watch
989,car,cat
990,acting,dining
991,buffalo,girlfriend
992, drawn back, loaded
993,spirit,water
994, to read, swimming
995, bo ##uh ##gt a laptop, bought
996, an elephant ., a cat
997,pencil,umbrella
998,bread,tomato
999, need, the needs
1000, ju ##mbo jet, multi ##col ##oured rainbow
1001,concert,funeral
1002,dog,tree
1003, butter ##ed noodles, fried underwear
1004, lunch box, camera
1005, going a game can be entertaining but very too," only as opposed football , basketball and hockey"
1006,sky,elephant
1007,legs,nose
1008,ice,metal
1009,roast,tiger
1010, online, at the butcher
1011,oil,water
1012, slot, che ##eta
1013,earth,flower
1014, bin, ##hel ##f
1015, mono ##sa ##cc ##hari ##des, amino acid
1016,radio,tv
1017,furnace,oven
1018, nail polish, milk
1019,driveway,napkin
1020, can only a language, languages
1021, fly through the air, live deep underwater
1022,department,grocery
1023, ate ##cast ##tle, built ##castle
1024, gas, vegetable oil
1025,transparent,broken
1026, medical shop, hotel
1027,in,into
1028,vegetables,clay
1029,fish,cigar
1030,honolulu,angeles
1031,, ##s
1032,doctor,police
1033,hospital,bank
1034, banana, fr ##is ##bee
1035,dog,man
1036,cat,car
1037,contain,contains
1038,milk,tar
1039,water,hero
1040,five,eight
1041, st ##rum ##ming, blowing
1042,teammates,trees
1043, house, ##phones
1044,elephant,sister
1045,stone,person
1046,day,hour
1047, string, cut rock
1048,plane,horse
1049,texas,ice
1050,grocery,car
1051,##s,chicken
1052,dog,sandwich
1053,nose,head
1054, home, to moon
1055, pair of scissors, riding lawn mo ##wer
1056, at rink, without ##s
1057,, ben his to .
1058, gi ##raf ##fe, man .
1059,, with zebra ##s
1060,beaver,bus
1061,glass,book
1062,eating,reading
1063,safe,dangerous
1064, the grand canyon, europe
1065,rocket,bus
1066,audiences,people
1067, int ##est ##ine, finger
1068,mind,leg
1069,shark,entertainment
1070,couch,tomato
1071, face cream,
1072,coat,bottle
1073,, football
1074, ham ##ster, jacket
1075, ke ##tch ##up, novel
1076,cloud,book
1077,library,hotel
1078,water,land
1079,car,lion
1080, lion, a car
1081,vegetarian,##s
1082, school, restaurant
1083,eat,wear
1084,fence,balloon
1085, banana if, rod it lighting
1086,whales,insects
1087, helps to clean, does nothing
1088, soup, smooth ##ie
1089,bicycle,pen
1090, a cooke ##r, an ambulance
1091,book,movie
1092, in school, hospital .
1093,pluto,mercury
1094, justin bi ##eber, mozart
1095,pistol,black
1096,couch,sink
1097, cat, a sham ##poo
1098,house,vegetables
1099, ce ##ral, spat ##ula ##s
1100,computer,table
1101,churches,others
1102,mouse,elephant
1103,,
1104, steering wheel, car
1105, cow, he
1106,lion,dog
1107,cats,oceans
1108,humans,chicken
1109,unknown,no
1110, egg, stone .
1111,paper,plastic
1112,math,monkey
1113, pizza, tu ##xed ##o
1114,, always
1115,cleaner,bucket
1116, rocked to sleep, put in fridge
1117,snack,beverage
1118, on, a
1119,milk,poison
1120, the, a .
1121, plum ##ber, tailor
1122, ste ##th ##os ##cope, ##rm ##ometer
1123, an aero ##plane, a steak
1124,humans,birds
1125,monkey,whale
1126,mouth,nose
1127,boat,car
1128,math,biology
1129,wheel,lamp
1130,chair,necklace
1131,food,plastic
1132,tiger,cage
1133, easily,
1134, dry hair, wet ##ting cloth
1135,create,take
1136,tree,star
1137,sofa,lamp
1138, fishing net, plate
1139, only one application, many applications
1140,air,water
1141,spoon,pistol
1142,cry,die
1143, his bag, the note book
1144, ran onto, ate
1145,##ement,government
1146, atm, petrol bunk
1147,fish,dog
1148, cater ##pi ##llar, document
1149, 8 motor cycle, 7 bicycle
1150,pool,top
1151,car,boat
1152,feet,wings
1153, all flowers are, new jersey flower is
1154,money,words
1155,table,cake
1156,books,burger
1157,summer,car
1158,lion,dog
1159,car,spoon
1160, the sun, spain
1161,monkey,football
1162, road, a bike
1163,book,hands
1164, tooth ##pas ##te, roses
1165, polar bear, bird
1166,cycle,car
1167, hip ##pop ##ota ##mus, person
1168, decorated with a model of, very happy for
1169,prevent,of
1170,in,the
1171, history,
1172,seventy,sixty
1173, hd ##mi,
1174,wrist,nose
1175,pressing,striking
1176,sleep,project
1177, people, slot ##hs
1178, water, ke ##tch ##up
1179,chair,table
1180,reptiles,mammals
1181,soda,cash
1182,home,fire
1183, printing scanner, sack piece .
1184,scarf,calendar
1185, banana, iron rod
1186, coach, a homer ##un
1187, kitchen, barber shop
1188, hot lava, balloons
1189,comb,spoon
1190, big, very small
1191,store,bank
1192,spoon,suit
1193,wood,glass
1194,fly,dance
1195,cycle,flight
1196,stones,vegetables
1197,people,bears
1198,low,high
1199, newspaper, aluminium foil
1200,kitchen,pool
1201,hands,hip
1202,two,three
1203, books, gi ##raf ##fe
1204,car,plane
1205,contains,generates
1206,cemetery,computer
1207,bread,plastic
1208,city,ocean
1209, soft music, noise
1210,silent,noise
1211,aunt,uncle
1212,fish,cat
1213, plastic box, banana
1214, your cell phone, a leg
1215, light bulb, air
1216,fan,lamp
1217,shower,hill
1218,microphone,speaker
1219,train,plane
1220, light, a car a
1221,people,food
1222,ball,joe
1223,microwave,refrigerator
1224, perfect representation of reality, video ##game
1225,book,fancy
1226,butcher,barber
1227,water,lamp
1228, ref ##ridge ##rator, oven
1229,dogs,birds
1230,house,wallet
1231,concrete,apples
1232,car,plane
1233,plane,car
1234, lived in, ate
1235,yellow,silly
1236,natural,electronic
1237,ants,elephants
1238,gifts,day
1239,holland,coconut
1240, ut ##ens ##ils was ##ing, my clothes washing
1241,teeth,money
1242, may be young, are old
1243, mcdonald ##s, barber ##sho ##p
1244, washed, thrown away
1245,christmas,monday
1246, binoculars, microscope ##s
1247, boat, cola ##nder
1248,shower,hills
1249,pencil,car
1250,luggage,mother
1251,fire,vegetables
1252,car,house
1253, toy store, restaurant
1254, his camera, cal ##cula ##tor
1255,kitchen,pub
1256,pot,match
1257,writing,laughing
1258,dog,chicken
1259, lemon ##ade, b ##lea ##ch
1260,television,radio
1261,car,scissors
1262,truck,car
1263,chicken,car
1264,table,cat
1265,person,chair
1266,hotel,college
1267,cats,tiger
1268,people,animals
1269,pan,friend
1270, potatoes, printer ink
1271, ice cream ##s, fridge
1272,fish,cats
1273, my table, car
1274,moon,sun
1275,plate,ship
1276,ate,drank
1277, person, term ##ite
1278,houses,documents
1279, car, washing machine
1280, king, don ##ut
1281,hand,hands
1282, my bird, a volcano
1283,electricity,water
1284,mouse,tiger
1285, tooth ##brush, television
1286,clothes,messages
1287, light ##bu ##lb, phone
1288,wrote,ate
1289,photo,laptop
1290,rock,cows
1291, road ##kill makes, balloons make
1292, situation : at night, in the morning
1293, camera, cal ##cula ##tor
1294,cookies,stones
1295,jail,restaurant
1296,cat,dog
1297, an helicopter, tv
1298, tread ##mill, baseball
1299,eyes,teeth
1300,run,fly
1301,tiger,chocolate
1302,pen,elephant
1303,car,vegetables
1304,hospitals,theaters
1305,sky,park
1306,bricks,cereal
1307,woman,dragon
1308,, of ##s
1309, bel ##ching, flying in air
1310,university,jail
1311,scissors,knife
1312,dinner,lunch
1313, sound engineer, computer
1314,turkey,cow
1315,feed,killing
1316, elephants, their children
1317, like dirt, sweet
1318, an air supply, a puppet
1319,phone,telephone
1320, chilly powder, sugar
1321, knife, tooth ##brush
1322,house,moon
1323, drove a helicopter, was driving
1324,boat,car
1325, jelly, sham ##poo
1326,law,bible
1327, on top of, behind
1328,bicycle,car
1329,fish,elephant
1330,carry,close
1331, party null ##ifies, an ann ##ul ##ment cancel ##s
1332,buildings,trees
1333, don ' t drink live, survive
1334, musical components, pieces candy
1335,pen,bicycle
1336,mile,brick
1337,electricity,apple
1338,environment,planet
1339,monkey,band
1340,baseball,##s
1341, cr ##oo ##s street, cross river
1342, at least 2 people, just one person
1343,fish,bird
1344, car, food
1345,cake,paper
1346,house,car
1347, shop, police station
1348,cold,hot
1349, broom, bat
